,Area code,Area name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,E06000022,Bath and North East Somerset,15011,15572,16377,17116,18000,18783,19464,20090,20927,21618,22211,21698,22818,23052,23514,23339,24056,24045,24436,24801,24885,26362,24095,26388
86,E06000023,"Bristol, City of",17716,18436,19466,21006,21928,22916,24076,24246,25246,27003,27758,28237,29138,29106,30023,30395,31580,32329,34128,36154,35621,37537,35748,39024
87,E06000025,South Gloucestershire,21866,22836,23993,25714,26901,28433,29725,30659,31835,33041,34329,33753,35128,35921,37567,38049,41094,41028,42995,43831,45281,46546,45608,48525
88,E47000010,North East Combined Authority,11918,12230,12675,13231,14052,14848,16042,16787,17677,18089,18460,18206,18562,18894,19382,19822,20205,20511,20698,21214,21719,22853,20987,23038
89,E06000047,County Durham,10784,11373,11734,12096,12738,13576,14555,15115,16005,16570,17027,17011,17203,17105,17486,17657,17716,17940,18075,18534,19474,20200,19084,21133
90,E08000023,South Tyneside,8576,8707,8992,9376,9818,10378,11205,11761,12278,12554,12908,12141,12766,13287,14219,14484,15263,15368,15061,15217,15344,15905,14406,16422
91,E08000024,Sunderland,13562,13518,14154,15001,16171,16996,18606,19540,20568,20843,21472,21647,21809,22301,22882,24964,25833,26488,26781,27903,27929,29324,26542,27871
92,E08000037,Gateshead,15021,15312,15840,16606,17671,18488,19912,21008,21981,22301,22111,21023,21871,22937,23258,22269,22520,22713,23277,23412,23783,26114,23297,26335
93,E47000011,North of Tyne Combined Authority,13635,13811,14229,15172,16369,17131,18543,19391,20237,20562,20868,20312,21022,21673,22277,22325,22938,23944,24667,25709,25993,26681,24785,27075
94,E08000021,Newcastle upon Tyne,17247,17453,18244,19742,21192,22407,24562,25843,27195,27438,27504,27037,27947,28948,30071,29917,30450,32081,32795,34118,33863,34674,31667,35070
95,E08000022,North Tyneside,12135,12465,12711,13728,15093,15736,16978,17644,18073,18500,19040,18230,18778,19434,19848,19863,20669,21611,22396,24038,24960,25098,23907,25948
96,E06000057,Northumberland,11340,11434,11674,12116,12991,13450,14339,14884,15554,15890,16280,15783,16372,16679,16881,17040,17554,17961,18604,18981,19281,20194,18831,20391
97,Not available,Greater Brighton City Region,16458,17432,18003,18514,19430,20157,20431,20958,22072,22867,23875,23019,23732,24017,24926,25901,26485,27531,28711,30033,30849,31904,29649,31357
98,E07000224,Arun,10394,10766,11052,11566,11947,12410,12490,12832,13209,13598,14295,13543,14250,14562,14897,15634,16010,16156,16983,17227,17942,18238,17029,18145
99,E07000229,Worthing,17722,20730,21421,21507,24280,25765,25588,25219,26532,27916,29070,27271,28752,28760,29575,30354,29666,30748,33354,37172,38921,40657,40179,40669
100,E07000223,Adur,12509,13034,13531,13987,14281,14718,14994,15797,16590,17150,17677,16799,17459,17506,18159,17432,17901,18971,19594,20199,20668,20782,20276,21527
101,E07000228,Mid Sussex,15016,15809,16669,17135,17628,18277,18640,19271,20114,20763,21558,20769,21457,21711,22187,22442,22895,24128,24641,25251,25679,26973,25401,27538
102,E07000226,Crawley,35160,36172,36284,35836,37916,38965,38863,38618,41042,42980,45487,43666,45565,45936,47597,49937,51127,54596,56678,59665,60001,61116,49172,44591
103,E06000043,Brighton and Hove,15118,16043,16777,17822,18571,19266,20010,21076,22417,23014,23788,23505,23558,23940,25630,27211,28247,28661,29888,30996,31973,33416,32353,37302
104,E07000063,Lewes,12123,12548,13131,13813,14148,14700,14887,15612,16140,16567,17399,16662,16937,17002,16685,17259,17917,19030,19467,20241,21067,21882,21255,22874
105,W42000001,Cardiff Capital Region,13204,13761,14407,14776,15449,16416,17107,17872,18749,19407,19279,19029,19635,20372,20924,21454,22013,22505,23474,24169,24947,25847,24301,26444
106,W06000013,Bridgend,14178,14444,15152,15311,16093,17137,17825,18514,19316,19647,19889,18669,19802,20513,20479,21388,22517,22477,22600,23822,24928,26542,24411,26263
107,W06000014,Vale of Glamorgan,10905,11363,11765,12392,12995,13829,13688,14216,14947,14959,14711,14650,14804,15296,16225,17134,17253,18263,18554,18065,18003,18431,15979,17237
108,W06000016,Rhondda Cynon Taf,10172,10395,10696,10847,11563,12067,12472,13133,14013,14382,14868,15294,16577,17210,17646,18386,19144,18944,19999,20347,20608,21061,20450,22373
109,W06000024,Merthyr Tydfil,10980,11426,12213,12590,13191,14172,15539,16654,17080,17412,17510,17070,17194,17988,17841,18100,18291,18617,19071,19913,20709,20864,19816,21305
110,W06000018,Caerphilly,10365,10458,10866,10998,11251,11759,12253,12719,13244,13428,13532,13246,13701,14552,14781,15460,15854,16627,17779,18284,18896,19665,18135,20090
111,W06000019,Blaenau Gwent,8801,8888,9377,9545,9904,10205,10723,11289,11655,11872,11836,11293,11952,12658,13148,13327,13352,13967,14042,15039,15901,16057,14911,17160
112,W06000020,Torfaen,11427,11605,12312,12508,13165,14247,15035,15767,16645,16667,16555,15854,16679,17567,17408,18427,18732,18478,18253,19189,20292,21507,19686,21950
113,W06000021,Monmouthshire,13162,14026,15089,15532,16231,17024,17737,18402,19284,19786,20019,19105,19597,20194,20844,21199,22105,23210,23001,23282,24348,25162,24054,26416
114,W06000022,Newport,16330,17072,18002,18247,18586,20109,21214,21869,22842,23703,22674,22145,23047,23727,24232,24002,23914,24789,26997,27615,29678,30019,27218,28452
115,W06000015,Cardiff,18102,19366,20185,20968,22008,23480,24469,25576,26834,28530,27863,27889,27890,28672,29815,30115,30921,31570,33256,34468,35126,36680,35393,38556
